orderid:,userid:,itemid:,gmv:,order_time:,Country ,,,
1064537,65444,8788569,64.0,5/25/17,,,,
1064546,42662,7563242,49.0,1/10/17,,,,
1064552,48853,8283288,44.0,4/14/17,,,,
1064555,24490,1505853,25.0,1/29/17,,,,
1064561,48827,8111074,90.0,3/9/17,,,,
1064563,28521,4640686,98.0,5/4/17,,,,
1064569,61425,5727916,18.0,5/19/17,,,,
1064573,47710,9220440,92.0,2/3/17,,,,
1064574,42733,2572593,77.0,1/12/17,,,,
1064583,13795,8485477,55.0,3/7/17,,,,
1064585,65527,6163071,5.0,1/7/17,,,,
1064592,12862,2550972,91.0,3/11/17,,,,
1064595,57426,3312115,14.0,4/16/17,,,,
1064603,46626,4395550,58.0,4/16/17,,,,
1064604,24788,2580398,17.0,1/3/17,,,,
1064614,46465,1301688,31.0,4/22/17,,,,
1064620,43363,6727488,59.0,1/9/17,,,,
1064629,58031,7143174,52.0,3/24/17,,,,
1064634,18494,7224580,41.0,4/27/17,,,,
1064638,23178,8500022,92.0,3/13/17,,,,
1064643,24169,5839205,55.0,2/26/17,,,,
1064644,29794,7203912,36.0,1/23/17,,,,
1064649,57250,8167348,47.0,4/11/17,,,,
1064656,18066,1302237,86.0,4/7/17,,,,
1064662,35678,5487884,14.0,3/29/17,,,,
1064664,30064,5200045,22.0,2/14/17,,,,
1064670,36269,3518605,18.0,5/17/17,,,,
1064675,20638,2135366,83.0,3/9/17,,,,
1064684,39266,3476068,3.0,3/25/17,,,,
1064691,16217,4252260,2.0,1/24/17,,,,
1064700,42424,3259950,52.0,1/19/17,,,,
1064709,29970,8366367,41.0,3/2/17,,,,
1064713,12563,4536156,43.0,2/10/17,,,,
1064719,31735,8061319,41.0,3/18/17,,,,
1064723,43700,2957879,10.0,4/19/17,,,,
1064730,31191,5933900,78.0,3/10/17,,,,
1064740,11863,2263275,89.0,1/9/17,,,,
1064747,61831,5947795,40.0,4/18/17,,,,
1064751,59959,8941837,82.0,5/14/17,,,,
1064754,40016,4129034,20.0,2/1/17,,,,
1064762,45027,3928022,77.0,4/13/17,,,,
1064763,32405,5178492,29.0,1/2/17,,,,
1064770,62987,8615410,32.0,3/6/17,,,,
1064771,25020,9170664,52.0,4/1/17,,,,
1064774,42592,6498361,99.0,3/12/17,,,,
1064775,36441,7187098,43.0,4/29/17,,,,
1064784,12931,4823243,48.0,6/1/17,,,,
1064785,46008,8241059,25.0,1/20/17,,,,
1064788,59324,3851024,91.0,1/8/17,,,,
1064796,51610,5647641,21.0,5/23/17,,,,
1064801,32147,1877063,10.0,6/1/17,,,,
1064806,68527,5364032,40.0,2/5/17,,,,
1064807,46862,1515797,13.0,3/20/17,,,,
1064808,12270,5417803,26.0,3/1/17,,,,
1064817,49267,3002864,27.0,4/30/17,,,,
1064825,48748,2614469,92.0,1/2/17,,,,
1064834,23979,4132455,48.0,2/16/17,,,,
1064837,24882,6165314,61.0,1/30/17,,,,
1064843,41666,5572897,15.0,5/15/17,,,,
1064844,28677,5164021,73.0,5/10/17,,,,
1064851,20196,6519615,8.0,1/1/17,,,,
1064856,42615,8520288,55.0,3/1/17,,,,
1064858,66104,8728314,12.0,5/29/17,,,,
1064859,48462,8087986,18.0,4/5/17,,,,
1064864,37276,4443327,99.0,1/20/17,,,,
1064874,57387,6087391,66.0,4/20/17,,,,
1064884,37977,6855574,37.0,3/12/17,,,,
1064891,30826,5956739,4.0,5/4/17,,,,
1064894,25824,8626423,88.0,1/3/17,,,,
1064897,14348,8906798,96.0,2/7/17,,,,
1064899,42380,2609641,72.0,4/1/17,,,,
1064907,51517,7093506,4.0,1/15/17,,,,
1064913,19908,8884333,50.0,2/7/17,,,,
1064914,40821,8956477,5.0,3/25/17,,,,
1064923,60741,2789907,6.0,3/27/17,,,,
1064929,34581,2678934,59.0,3/3/17,,,,
1064939,48029,2899783,39.0,5/31/17,,,,
1064942,44619,9165896,69.0,1/14/17,,,,
1064949,11231,6948371,66.0,5/27/17,,,,
1064954,60434,7472184,78.0,5/8/17,,,,
1064962,59100,7331808,41.0,1/1/17,,,,
1064968,40924,7307943,35.0,1/24/17,,,,
1064974,31444,1348494,67.0,5/24/17,,,,
1064984,55792,1676013,15.0,4/1/17,,,,
1064993,18474,2861308,3.0,5/1/17,,,,
1064995,21885,7503819,37.0,1/21/17,,,,
1065002,40709,1958373,73.0,4/19/17,,,,
1065004,26239,2367697,80.0,2/18/17,,,,
1065005,30750,8940468,81.0,1/13/17,,,,
1065008,55550,1445992,57.0,3/13/17,,,,
1065016,65300,3042278,82.0,5/12/17,,,,
1065026,33156,8264194,43.0,2/4/17,,,,
1065027,12871,1851964,44.0,1/15/17,,,,
1065036,27586,3671187,1.0,2/3/17,,,,
1065043,42136,7979602,71.0,3/8/17,,,,
1065052,60519,5234513,63.0,1/26/17,,,,
1065058,33407,8735764,52.0,4/12/17,,,,
1065064,38075,2734332,46.0,2/15/17,,,,
1065074,55261,7977992,19.0,2/16/17,,,,
1065075,50968,6791332,19.0,3/8/17,,,,
1065080,33194,4765375,79.0,1/13/17,,,,
1065081,40534,3361492,10.0,1/26/17,,,,
1065086,31081,4291425,82.0,4/7/17,,,,
1065088,69581,1572075,33.0,3/31/17,,,,
1065096,51713,4459575,5.0,5/6/17,,,,
1065104,61153,8049698,36.0,4/6/17,,,,
1065109,52619,7173264,76.0,5/8/17,,,,
1065115,68781,2023960,36.0,1/31/17,,,,
1065125,21367,9138558,21.0,1/24/17,,,,
1065130,18690,5352951,24.0,1/3/17,,,,
1065137,30085,8467281,74.0,2/13/17,,,,
1065147,36884,5152271,99.0,5/31/17,,,,
1065148,21509,2785281,24.0,3/28/17,,,,
1065157,36251,5466552,61.0,5/28/17,,,,
1065165,49923,6345593,86.0,5/18/17,,,,
1065175,44345,1395933,87.0,5/26/17,,,,
1065178,61898,5670136,23.0,4/29/17,,,,
1065183,32581,9294642,27.0,5/19/17,,,,
1065184,57594,2777609,47.0,2/12/17,,,,
1065187,46224,5696818,62.0,5/8/17,,,,
1065193,24338,9059783,31.0,1/16/17,,,,
1065197,38091,4991622,87.0,1/7/17,,,,
1065205,55897,5746637,11.0,4/30/17,,,,
1065213,53171,5607742,19.0,3/9/17,,,,
1065220,26147,3711452,26.0,4/26/17,,,,
1065221,58907,3542902,37.0,5/13/17,,,,
1065224,65791,4094940,47.0,2/17/17,,,,
1065227,17830,5062698,54.0,5/28/17,,,,
1065231,53631,3465609,37.0,2/17/17,,,,
1065238,67124,2292150,64.0,2/24/17,,,,
1065242,41939,4268202,67.0,3/22/17,,,,
1065248,15275,8507544,32.0,5/17/17,,,,
1065254,62862,8188458,2.0,3/21/17,,,,
1065255,48565,7003803,97.0,3/17/17,,,,
1065264,38575,7359726,16.0,5/20/17,,,,
1065271,55937,6557390,78.0,2/8/17,,,,
1065279,45111,7105718,57.0,5/24/17,,,,
1065282,19069,2455055,82.0,5/25/17,,,,
1065290,48869,5773270,22.0,3/23/17,,,,
1065292,65690,2854327,40.0,2/5/17,,,,
1065294,40109,9051997,33.0,5/1/17,,,,
1065301,51425,4836397,73.0,3/4/17,,,,
1065307,46396,3675772,89.0,4/24/17,,,,
1065312,29970,2209563,9.0,4/27/17,,,,
1065320,15742,7527752,57.0,4/30/17,,,,
1065328,62006,4498649,35.0,5/24/17,,,,
1065337,16342,6395263,81.0,4/18/17,,,,
1065344,28913,8544733,69.0,3/13/17,,,,
1065346,28656,5719496,27.0,3/16/17,,,,
1065350,14696,4155997,85.0,3/18/17,,,,
1065353,55565,4998968,46.0,1/24/17,,,,
1065359,26830,7362146,70.0,2/18/17,,,,
1065360,13866,5554725,97.0,2/13/17,,,,
1065365,66009,4874941,91.0,1/1/17,,,,
1065370,49580,5947234,53.0,4/28/17,,,,
1065373,21509,7935827,79.0,5/2/17,,,,
1065377,52647,5416645,21.0,3/2/17,,,,
1065387,27318,3904613,72.0,4/2/17,,,,
1065388,58373,5862240,58.0,3/6/17,,,,
1065397,53776,8194244,78.0,4/30/17,,,,
1065402,31350,4810229,51.0,4/22/17,,,,
1065407,63364,3872016,64.0,1/11/17,,,,
1065410,61969,5211348,15.0,5/17/17,,,,
1065414,41328,7901267,23.0,3/11/17,,,,
1065423,66903,3334531,81.0,5/28/17,,,,
1065425,22421,2608496,36.0,4/29/17,,,,
1065429,22917,4744311,52.0,3/3/17,,,,
1065438,11526,6488194,49.0,1/24/17,,,,
1065446,27277,2858137,5.0,4/1/17,,,,
1065451,12382,6538027,35.0,4/26/17,,,,
1065461,22631,2751911,45.0,2/15/17,,,,
1065468,36678,5341224,87.0,5/18/17,,,,
1065474,62606,4643556,39.0,3/21/17,,,,
1065481,54569,5123953,59.0,5/12/17,,,,
1065482,64432,3637014,30.0,6/1/17,,,,
1065486,43762,8151075,3.0,3/26/17,,,,
1065493,34380,2991258,51.0,2/25/17,,,,
1065503,54669,7713912,24.0,1/26/17,,,,
1065504,51508,4955302,52.0,1/17/17,,,,
1065506,59233,8867198,77.0,3/21/17,,,,
1065513,43342,2946224,53.0,5/31/17,,,,
1065521,56181,3043866,44.0,2/28/17,,,,
1065524,40811,6118441,36.0,2/25/17,,,,
1065529,34786,7742132,5.0,4/6/17,,,,
1065536,43783,7524381,43.0,3/3/17,,,,
1065543,47721,6945351,40.0,4/4/17,,,,
1065545,29466,8698142,32.0,1/17/17,,,,
1065547,25472,3503895,38.0,5/4/17,,,,
1065555,30833,8596359,47.0,5/23/17,,,,
1065560,14738,2861103,38.0,1/6/17,,,,
1065568,62036,3456065,35.0,3/3/17,,,,
1065578,40115,9248333,53.0,2/7/17,,,,
1065582,68494,4665656,60.0,3/21/17,,,,
1065589,59839,2274922,88.0,2/28/17,,,,
1065591,53026,5607824,42.0,1/2/17,,,,
1065594,19109,4002360,42.0,3/26/17,,,,
1065602,19122,2126278,48.0,4/23/17,,,,
1065610,24271,4564808,26.0,3/4/17,,,,
1065620,52906,8866359,13.0,4/12/17,,,,
1065623,36466,3114987,100.0,2/17/17,,,,
1065633,43969,1511093,34.0,3/29/17,,,,
1065634,10981,7782173,98.0,2/13/17,,,,
1065635,32034,1776668,91.0,2/7/17,,,,
1065641,38785,3241203,62.0,5/16/17,,,,
1065643,20404,4659052,49.0,3/30/17,,,,
1065646,68509,8372596,20.0,1/2/17,,,,
1065647,34426,6075159,11.0,3/8/17,,,,
1065650,48600,8855671,88.0,4/8/17,,,,
1065660,28290,7117159,78.0,3/31/17,,,,
1065664,23842,4362088,98.0,5/24/17,,,,
1065672,32601,1492952,11.0,4/18/17,,,,
1065675,16105,5149274,98.0,3/31/17,,,,
1065676,62193,5629533,68.0,5/16/17,,,,
1065678,26874,8704395,73.0,5/25/17,,,,
1065686,19723,1495807,74.0,1/26/17,,,,
1065688,38111,4978404,7.0,3/29/17,,,,
1065693,58566,4967579,15.0,1/10/17,,,,
1065697,13000,5966940,18.0,4/3/17,,,,
1065699,33148,2798092,55.0,1/17/17,,,,
1065707,54643,8089188,14.0,4/24/17,,,,
1065708,38210,5462708,53.0,1/29/17,,,,
1065711,18387,5258950,92.0,3/22/17,,,,
1065718,51479,2248528,55.0,5/3/17,,,,
1065726,23314,1645239,6.0,3/18/17,,,,
1065732,24674,2789848,46.0,5/6/17,,,,
1065738,47241,3003624,91.0,2/5/17,,,,
1065747,20172,9071552,1.0,1/2/17,,,,
1065757,21603,8785524,100.0,4/1/17,,,,
1065764,23419,4031032,9.0,1/10/17,,,,
1065767,51079,4971940,97.0,5/12/17,,,,
1065776,29878,1329876,77.0,5/15/17,,,,
1065777,50678,2030857,41.0,1/2/17,,,,
1065784,64839,9121410,92.0,1/31/17,,,,
1065786,31855,7878687,49.0,2/18/17,,,,
1065790,46589,2266974,100.0,5/20/17,,,,
1065797,45150,1486949,100.0,3/14/17,,,,
1065806,63861,2066708,34.0,3/20/17,,,,
1065815,42002,8623774,56.0,4/10/17,,,,
1065821,60377,5564251,13.0,2/7/17,,,,
1065830,10969,3277941,42.0,5/9/17,,,,
1065835,61364,8607647,18.0,2/8/17,,,,
1065840,32861,7018458,21.0,2/22/17,,,,
1065844,17349,5617229,71.0,2/5/17,,,,
1065849,21568,1881949,91.0,4/21/17,,,,
1065852,41931,8344953,4.0,1/20/17,,,,
1065856,32885,1818180,48.0,2/23/17,,,,
1065858,16672,7651766,65.0,1/23/17,,,,
1065866,26232,6844923,49.0,5/24/17,,,,
1065868,18778,6936683,81.0,4/20/17,,,,
1065871,17145,4492278,73.0,5/2/17,,,,
1065872,18938,4826589,82.0,5/29/17,,,,
1065875,44213,8411496,76.0,2/3/17,,,,
1065883,69661,2464968,31.0,5/12/17,,,,
1065885,69699,6768461,18.0,2/11/17,,,,
1065894,37010,7646226,15.0,5/5/17,,,,
1065897,38688,4145646,62.0,1/17/17,,,,
1065900,67354,4517556,51.0,1/10/17,,,,
1065910,68655,1981997,47.0,5/24/17,,,,
1065911,50865,6628111,47.0,4/28/17,,,,
1065921,25449,3890435,78.0,1/8/17,,,,
1065931,48983,6009620,32.0,4/17/17,,,,
1065940,32704,6537206,12.0,3/23/17,,,,
1065942,40252,4058686,96.0,4/25/17,,,,
1065950,68437,4075973,55.0,2/16/17,,,,
1065953,22138,1570823,67.0,4/9/17,,,,
1065956,38237,7653428,50.0,3/6/17,,,,
1065961,19146,3177380,59.0,5/4/17,,,,
1065962,46599,1969564,90.0,5/16/17,,,,
1065970,15419,9013219,53.0,5/9/17,,,,
1065976,47743,8503933,82.0,5/20/17,,,,
1065985,21168,4049154,3.0,1/23/17,,,,
1065995,11795,3564462,6.0,1/2/17,,,,
1066003,19130,8925779,50.0,1/5/17,,,,
1066011,27757,6272196,60.0,1/14/17,,,,
1066014,11590,9332269,5.0,1/5/17,,,,
1066024,42869,7887704,8.0,2/12/17,,,,
1066033,30901,4243608,98.0,4/24/17,,,,
1066039,59582,4182536,16.0,4/25/17,,,,
1066049,35507,5600931,86.0,4/7/17,,,,
1066054,48646,3886670,89.0,3/17/17,,,,
1066061,56903,3043655,7.0,1/21/17,,,,
1066070,61256,1923779,46.0,2/12/17,,,,
1066074,33993,7013808,89.0,3/8/17,,,,
1066077,24023,8259977,93.0,1/11/17,,,,
1066083,56971,4736696,1.0,2/26/17,,,,
1066088,68599,5203008,21.0,3/3/17,,,,
1066095,11937,9222024,68.0,2/9/17,,,,
1066103,11102,5517131,64.0,5/20/17,,,,
1066108,12605,3520740,47.0,3/18/17,,,,
1066113,14960,2222395,77.0,4/24/17,,,,
1066118,31278,2655193,30.0,5/28/17,,,,
1066128,43092,7476495,81.0,5/16/17,,,,
1066130,66712,1798664,20.0,1/2/17,,,,
1066140,50580,2653807,51.0,4/30/17,,,,
1066149,64764,2885037,45.0,1/12/17,,,,
1066159,20669,2449692,8.0,5/17/17,,,,
1066167,33119,8191967,25.0,1/2/17,,,,
1066174,46908,3825438,6.0,2/10/17,,,,
1066176,21123,6246945,57.0,5/31/17,,,,
1066182,28924,9172221,31.0,5/7/17,,,,
1066183,44225,9310582,98.0,5/22/17,,,,
1066193,64166,2139958,1.0,3/12/17,,,,
1066199,23090,2467415,46.0,3/7/17,,,,
1066209,56990,3496420,43.0,3/1/17,,,,
1066212,37895,3476545,53.0,4/5/17,,,,
1066213,46687,8475480,21.0,3/22/17,,,,
1066222,42857,2752430,40.0,1/8/17,,,,
1066226,66152,4929178,57.0,2/23/17,,,,
1066230,38343,9065163,29.0,4/4/17,,,,
1066238,58667,4455712,67.0,5/14/17,,,,
1066247,39841,7443192,47.0,2/18/17,,,,
1066249,45430,2948220,13.0,4/29/17,,,,
1066253,19146,8391137,90.0,2/8/17,,,,
1066261,64269,7528174,40.0,3/28/17,,,,
1066263,59750,8752691,94.0,4/29/17,,,,
1066265,67302,5701699,84.0,4/16/17,,,,
1066266,19684,5168949,42.0,2/14/17,,,,
1066268,29981,2479317,71.0,3/2/17,,,,
1066273,10341,7251794,52.0,1/29/17,,,,
1066278,59565,3284286,26.0,3/31/17,,,,
1066281,18136,2720436,9.0,5/3/17,,,,
1066286,54045,8864769,51.0,2/25/17,,,,
1066288,55558,7414722,52.0,4/19/17,,,,
1066293,69988,2014519,52.0,1/18/17,,,,
1066294,49189,8873214,42.0,5/9/17,,,,
1066297,49602,5615494,39.0,4/11/17,,,,
1066302,69199,7557550,75.0,5/12/17,,,,
1066303,63062,8002403,30.0,4/24/17,,,,
1066312,69657,4045337,73.0,2/7/17,,,,
1066318,24637,4408885,18.0,3/4/17,,,,
1066321,18153,3263402,69.0,2/26/17,,,,
1066326,57483,5010643,20.0,3/8/17,,,,
1066331,26643,4261959,37.0,3/26/17,,,,
1066337,58556,6854902,45.0,4/19/17,,,,
1066341,59148,3603413,20.0,5/8/17,,,,
1066349,57298,7957849,68.0,5/12/17,,,,
1066359,28803,8502900,71.0,1/13/17,,,,
1066365,58784,2481427,99.0,5/23/17,,,,
1066369,17070,8972868,9.0,2/1/17,,,,
1066376,58234,7203621,23.0,1/31/17,,,,
1066382,43164,9137869,3.0,2/9/17,,,,
1066383,55753,7020330,66.0,5/12/17,,,,
1066390,53044,6378015,6.0,2/8/17,,,,
1066395,60707,6003242,33.0,5/26/17,,,,
1066405,58682,3502908,96.0,1/5/17,,,,
1066412,42467,3650932,48.0,1/13/17,,,,
1066415,54659,5250743,80.0,5/12/17,,,,
1066422,37410,3518892,95.0,2/28/17,,,,
1066424,35183,7350577,76.0,1/19/17,,,,
1066429,67542,8287919,26.0,2/2/17,,,,
1066433,56412,2929056,58.0,4/30/17,,,,
1066439,56207,3919851,96.0,3/7/17,,,,
1066448,62551,9336306,42.0,2/28/17,,,,
1066449,39025,4728514,77.0,2/9/17,,,,
1066450,56352,7196508,1.0,5/24/17,,,,
1066459,49151,3499823,77.0,5/1/17,,,,
1066464,34074,1477341,32.0,2/8/17,,,,
1066467,10323,1998889,5.0,5/1/17,,,,
1066471,67192,6650725,80.0,3/30/17,,,,
1066474,12351,4075814,73.0,2/11/17,,,,
1066482,30440,4050895,25.0,1/24/17,,,,
1066488,17493,6747763,56.0,1/24/17,,,,
1066493,61654,6364450,23.0,1/28/17,,,,
1066499,39228,8238495,24.0,5/9/17,,,,
1066505,55078,7583620,38.0,3/4/17,,,,
1066508,61678,1683838,31.0,4/5/17,,,,
1066509,58667,5491022,34.0,1/10/17,,,,
1066517,29162,6304024,47.0,2/22/17,,,,
1066520,58517,4078825,70.0,4/22/17,,,,
1066528,54812,3104904,71.0,1/26/17,,,,
1066536,23919,6668946,19.0,4/6/17,,,,
1066539,34933,5853426,23.0,2/19/17,,,,
1066548,45144,1725685,82.0,3/19/17,,,,
1066550,25410,4830223,29.0,4/15/17,,,,
1066557,25053,9144617,51.0,2/6/17,,,,
1066558,43205,2074895,92.0,3/20/17,,,,
1066561,43678,7298918,65.0,3/9/17,,,,
1066563,38790,2189923,3.0,2/13/17,,,,
1066568,69517,4530931,51.0,1/11/17,,,,
1066572,61095,3633930,35.0,4/21/17,,,,
1066574,29690,4400544,63.0,4/13/17,,,,
1066578,28456,7097823,75.0,3/2/17,,,,
1066579,17393,5876974,73.0,2/26/17,,,,
1066584,51522,7251353,64.0,1/1/17,,,,
1066594,53471,6575371,98.0,2/4/17,,,,
1066595,40766,8912554,97.0,1/27/17,,,,
1066600,64257,2630836,97.0,4/25/17,,,,
1066603,59909,6742420,90.0,2/13/17,,,,
1066604,22683,7165213,79.0,3/10/17,,,,
1066612,63543,1869716,82.0,4/2/17,,,,
1066613,31824,8793988,11.0,1/19/17,,,,
1066618,64365,5255208,13.0,1/21/17,,,,
1066625,24638,8836208,72.0,2/8/17,,,,
1066631,61692,8921065,30.0,4/3/17,,,,
1066636,54709,5481865,11.0,1/26/17,,,,
1066638,66543,3502136,62.0,3/24/17,,,,
1066642,62468,6306507,49.0,3/17/17,,,,
1066643,62322,2463869,84.0,5/17/17,,,,
1066649,43155,9117200,29.0,5/2/17,,,,
1066654,10897,3637475,8.0,1/23/17,,,,
1066655,69744,6910308,70.0,3/6/17,,,,
1066659,54144,2288111,90.0,5/31/17,,,,
1066661,35852,4253790,59.0,4/24/17,,,,
1066662,38271,3774832,4.0,3/11/17,,,,
1066670,21590,7535823,20.0,2/27/17,,,,
1066676,45724,8685336,46.0,5/6/17,,,,
1066680,37128,5713632,1.0,2/7/17,,,,
1066688,41404,7420188,29.0,5/24/17,,,,
1066698,62478,8453391,71.0,4/2/17,,,,
1066703,10399,3646932,100.0,4/13/17,,,,
1066704,31315,7974639,88.0,4/17/17,,,,
1066712,51601,7058439,27.0,2/8/17,,,,
1066721,39812,9017145,48.0,5/14/17,,,,
1066729,18474,5753587,83.0,1/24/17,,,,
1066735,32699,8823493,64.0,1/25/17,,,,
1066743,65711,5150474,86.0,4/13/17,,,,
1066751,23604,7032156,50.0,5/24/17,,,,
1066761,18119,9342835,71.0,2/18/17,,,,
1066770,61654,5373367,27.0,2/13/17,,,,
1066772,17668,8449806,55.0,4/26/17,,,,
1066776,50829,5753995,68.0,2/25/17,,,,
1066784,23614,9243873,14.0,1/30/17,,,,
1066790,42866,1620176,3.0,3/20/17,,,,
1066800,59993,7640766,4.0,5/16/17,,,,
1066806,15275,9206164,82.0,1/9/17,,,,
1066811,48216,8410778,66.0,5/28/17,,,,
1066820,15380,5198121,15.0,2/9/17,,,,
1066821,35214,1327529,70.0,5/19/17,,,,
1066827,26538,6346484,12.0,1/21/17,,,,
1066833,44283,8894002,55.0,3/22/17,,,,
1066837,65817,3628217,79.0,3/22/17,,,,
1066847,66390,6241620,75.0,5/18/17,,,,
1066856,25718,1557181,29.0,5/27/17,,,,
1066858,18331,3687435,89.0,2/27/17,,,,
1066861,62852,5193031,30.0,4/21/17,,,,
1066869,11315,5574392,97.0,3/23/17,,,,
1066873,59148,2618263,85.0,5/26/17,,,,
1066880,12607,6248477,94.0,1/31/17,,,,
1066889,39350,1363046,64.0,1/21/17,,,,
1066897,68262,5584867,72.0,3/10/17,,,,
1066902,56590,3524114,42.0,1/1/17,,,,
1066903,60573,7444964,70.0,4/26/17,,,,
1066912,52474,6875171,22.0,3/1/17,,,,
1066919,36695,8411928,95.0,1/17/17,,,,
1066924,16193,3451824,69.0,3/20/17,,,,
1066930,48784,7174723,29.0,3/11/17,,,,
1066935,42921,3330569,49.0,5/8/17,,,,
1066944,26042,2723223,24.0,1/19/17,,,,
1066953,41913,6335517,11.0,2/2/17,,,,
1066958,25021,3581154,21.0,3/17/17,,,,
1066968,12610,3961430,16.0,3/6/17,,,,
1066974,65736,5237642,83.0,3/15/17,,,,
1066982,24863,1866136,74.0,4/27/17,,,,
1066988,53195,6295580,60.0,4/9/17,,,,
1066995,57740,3569376,98.0,1/1/17,,,,
1067004,42486,2572103,18.0,5/21/17,,,,
1067012,34812,6687856,18.0,6/1/17,,,,
1067016,52582,9200074,38.0,2/24/17,,,,
1067025,53674,4952023,93.0,3/15/17,,,,
1067031,41760,8533228,62.0,3/6/17,,,,
1067036,17788,3844269,1.0,3/29/17,,,,
1067039,36326,3007780,2.0,4/26/17,,,,
1067049,46192,1508162,88.0,4/11/17,,,,
1067053,23018,3699689,38.0,5/24/17,,,,
1067063,68684,2157877,43.0,3/7/17,,,,
1067067,58444,6777331,82.0,5/21/17,,,,
1067076,10398,5391038,4.0,5/28/17,,,,
1067078,25298,2119774,7.0,3/15/17,,,,
1067085,52571,7366744,51.0,1/20/17,,,,
1067093,16430,2687238,82.0,5/9/17,,,,
1067094,22190,7606073,27.0,2/13/17,,,,
1067097,55847,3949396,90.0,1/23/17,,,,
1067099,45559,3052805,42.0,3/10/17,,,,
1067108,36278,3431551,86.0,3/4/17,,,,
1067115,51833,1838804,95.0,2/3/17,,,,
1067117,11571,3389915,54.0,4/27/17,,,,
1067121,58234,5676103,11.0,5/6/17,,,,
1067125,66507,3751696,63.0,4/16/17,,,,
1067126,26027,1904471,61.0,1/7/17,,,,
1067131,45758,4337584,45.0,1/31/17,,,,
1067138,42939,4421686,71.0,2/14/17,,,,
1067144,28709,7941971,65.0,3/23/17,,,,
1067147,19899,5290135,79.0,2/25/17,,,,
1067151,31286,5742519,70.0,2/25/17,,,,
1067157,27116,6997154,33.0,4/29/17,,,,
1067166,18705,7384216,43.0,5/13/17,,,,
1067175,19111,3001821,76.0,1/13/17,,,,
1067182,44972,6156608,28.0,5/16/17,,,,
1067188,22660,6038850,36.0,1/20/17,,,,
1067193,63252,1738449,96.0,1/10/17,,,,
1067201,16386,7801655,5.0,1/15/17,,,,
1067207,28924,6306636,79.0,1/16/17,,,,
1067214,56619,8676002,35.0,2/4/17,,,,
1067219,61597,8748539,42.0,2/6/17,,,,
1067222,22312,1943073,6.0,2/15/17,,,,
1067224,68262,8315789,68.0,2/6/17,,,,
1067232,35636,4921275,66.0,4/30/17,,,,
1067234,68581,6324957,91.0,1/4/17,,,,
1067235,24320,8823108,80.0,2/26/17,,,,
1067240,39437,8452299,74.0,5/11/17,,,,
1067250,16902,6011439,49.0,1/22/17,,,,
1067260,67766,2268128,1.0,1/16/17,,,,
1067262,52158,8307977,31.0,4/8/17,,,,
1067267,31370,3982085,83.0,3/26/17,,,,
1067277,35668,2979689,24.0,5/19/17,,,,
1067285,44640,4502544,53.0,1/7/17,,,,
1067287,46612,9093979,72.0,1/20/17,,,,
1067297,31519,8274446,70.0,5/9/17,,,,
1067306,32102,2324734,8.0,2/19/17,,,,
1067312,19153,9307285,33.0,5/27/17,,,,
1067321,15442,9099157,93.0,1/31/17,,,,
1067328,26505,3084456,5.0,4/18/17,,,,
1067335,68733,7734031,60.0,1/27/17,,,,
1067336,25478,2704419,60.0,2/22/17,,,,
1067339,13237,3266531,84.0,2/23/17,,,,
1067346,19798,6944792,100.0,3/15/17,,,,
1067347,26309,7818470,40.0,4/13/17,,,,
1067348,43803,5127629,42.0,5/6/17,,,,
1067352,18227,4900767,34.0,5/28/17,,,,
1067362,41763,8102583,19.0,3/20/17,,,,
1067364,32020,3275923,84.0,3/13/17,,,,
1067368,10690,2559034,59.0,1/26/17,,,,
1067369,44666,5034537,4.0,5/29/17,,,,
1067374,50812,3799342,38.0,1/3/17,,,,
1067380,67626,3876072,28.0,2/2/17,,,,
1067388,19625,5041870,74.0,3/15/17,,,,
1067396,51531,5046515,72.0,2/3/17,,,,
1067400,44628,4636884,29.0,1/2/17,,,,
1067404,65083,6645938,85.0,2/2/17,,,,
1067412,65248,8414613,68.0,1/3/17,,,,
1067419,56266,6874576,68.0,4/9/17,,,,
1067428,50997,2817833,53.0,5/29/17,,,,
1067436,27632,5790727,30.0,2/5/17,,,,
1067442,37270,5747067,34.0,2/16/17,,,,
1067446,38690,2520921,98.0,3/8/17,,,,
1067447,25602,7803770,14.0,2/25/17,,,,
1067451,32465,5122011,28.0,4/24/17,,,,
1067460,21020,4712604,40.0,3/9/17,,,,
1067468,23530,7011600,16.0,1/16/17,,,,
1067475,56741,6098448,38.0,1/28/17,,,,
1067481,30793,1503990,69.0,5/19/17,,,,
1067482,42365,6820095,29.0,4/24/17,,,,
1067487,23979,7482237,76.0,3/19/17,,,,
1067490,39211,6029830,39.0,5/28/17,,,,
1067494,53445,6613654,27.0,2/22/17,,,,
1067496,53356,6814362,23.0,5/19/17,,,,
1067500,13573,8645029,69.0,5/16/17,,,,
1067507,30559,3066178,17.0,5/5/17,,,,
1067508,41136,6001525,54.0,5/15/17,,,,
1067514,14675,4460055,37.0,4/14/17,,,,
1067516,23504,4499675,15.0,1/25/17,,,,
1067523,49235,3332166,80.0,4/8/17,,,,
1067527,44864,8844207,52.0,4/1/17,,,,
1067528,22445,7419209,62.0,4/3/17,,,,
1067535,26421,2423657,79.0,5/5/17,,,,
1067537,42756,8068377,9.0,4/15/17,,,,
1067539,14809,5018044,88.0,3/31/17,,,,
1067540,10858,8713394,13.0,1/15/17,,,,
